gene,feature_type
Il1rl1,Gene Expression
Il18r1,Gene Expression
Il18rap,Gene Expression
Gm35801,Gene Expression
Slc9a4,Gene Expression
Slc9a2,Gene Expression
Gm37623,Gene Expression
Gm37915,Gene Expression
Mfsd9,Gene Expression
Tmem182,Gene Expression
4930448I06Rik,Gene Expression
Gm28634,Gene Expression
Gm29260,Gene Expression
Gm9915,Gene Expression
Gm29664,Gene Expression
Gm28175,Gene Expression
Gm28140,Gene Expression
Pantr1,Gene Expression
Pou3f3,Gene Expression
Dalir,Gene Expression
Mrps9,Gene Expression
Gpr45,Gene Expression
Tgfbrap1,Gene Expression
Gm28782,Gene Expression
8430432A02Rik,Gene Expression
AI597479,Gene Expression
Fhl2,Gene Expression
Gm29040,Gene Expression
Nck2,Gene Expression
1500015O10Rik,Gene Expression
Gm29155,Gene Expression
Gm29157,Gene Expression
Gm29156,Gene Expression
Uxs1,Gene Expression
Tpp2,Gene Expression
Mettl21c,Gene Expression
Gm8251,Gene Expression
Tex30,Gene Expression
Kdelc1,Gene Expression
Bivm,Gene Expression
Ercc5,Gene Expression
Mettl21e,Gene Expression
Gulp1,Gene Expression
4930521E06Rik,Gene Expression
Col3a1,Gene Expression
Col5a2,Gene Expression
Wdr75,Gene Expression
Gm5269,Gene Expression
Slc40a1,Gene Expression
Dnah7b,Gene Expression
Dnah7c,Gene Expression
Slc39a10,Gene Expression
Gm28151,Gene Expression
Gm28826,Gene Expression
C230029F24Rik,Gene Expression
4933411E06Rik,Gene Expression
Gm29665,Gene Expression
Gm28321,Gene Expression
Tmeff2,Gene Expression
Gm28322,Gene Expression
Gm28319,Gene Expression
Gm29325,Gene Expression
9330175M20Rik,Gene Expression
Cavin2,Gene Expression
1700072G22Rik,Gene Expression
Nabp1,Gene Expression
Gm17767,Gene Expression
Gm28055,Gene Expression
Myo1b,Gene Expression
Stat4,Gene Expression
Gm31812,Gene Expression
Stat1,Gene Expression
Gls,Gene Expression
Nab1,Gene Expression
Gm553,Gene Expression
Gm28178,Gene Expression
Nemp2,Gene Expression
Mfsd6,Gene Expression
Inpp1,Gene Expression
Hibch,Gene Expression
1700019D03Rik,Gene Expression
Mstn,Gene Expression
1700019A02Rik,Gene Expression
Pms1,Gene Expression
Gm28777,Gene Expression
Ormdl1,Gene Expression
Gm28778,Gene Expression
Osgepl1,Gene Expression
Gm28551,Gene Expression
Asnsd1,Gene Expression
Dnah7a,Gene Expression
Stk17b,Gene Expression
Hecw2,Gene Expression
Ccdc150,Gene Expression
Gtf3c3,Gene Expression
Gm34066,Gene Expression
Pgap1,Gene Expression
Ankrd44,Gene Expression
4930444A19Rik,Gene Expression
Sf3b1,Gene Expression
Coq10b,Gene Expression
Hspd1,Gene Expression
Hspe1,Gene Expression
Mob4,Gene Expression
Rftn2,Gene Expression
Gm10561,Gene Expression
Mars2,Gene Expression
Boll,Gene Expression
Plcl1,Gene Expression
9130227L01Rik,Gene Expression
1700003I22Rik,Gene Expression
Gm28240,Gene Expression
Hsfy2,Gene Expression
Satb2,Gene Expression
1700126A01Rik,Gene Expression
BC055402,Gene Expression
4930558J18Rik,Gene Expression
1700066M21Rik,Gene Expression
Tyw5,Gene Expression
Maip1,Gene Expression
Spats2l,Gene Expression
Gm17234,Gene Expression
Kctd18,Gene Expression
Sgo2a,Gene Expression
Aox1,Gene Expression
Aox3,Gene Expression
Aox4,Gene Expression
Gm15759,Gene Expression
Aox2,Gene Expression
Bzw1,Gene Expression
Clk1,Gene Expression
Ppil3,Gene Expression
Nif3l1,Gene Expression
Orc2,Gene Expression
Gm15834,Gene Expression
Fam126b,Gene Expression
Ndufb3,Gene Expression
Als2cr12,Gene Expression
Cflar,Gene Expression
Casp8,Gene Expression
Trak2,Gene Expression
Stradb,Gene Expression
C2cd6b,Gene Expression
Gm29018,Gene Expression
C2cd6,Gene Expression
Tmem237,Gene Expression
G730003C15Rik,Gene Expression
Mpp4,Gene Expression
Gm29017,Gene Expression
Als2,Gene Expression
Cdk15,Gene Expression
Gm29016,Gene Expression
Fzd7,Gene Expression
Gm26813,Gene Expression
Gm973,Gene Expression
Gm28411,Gene Expression
1700122D07Rik,Gene Expression
Sumo1,Gene Expression
Nop58,Gene Expression
Bmpr2,Gene Expression
Fam117b,Gene Expression
Ica1l,Gene Expression
Wdr12,Gene Expression
Carf,Gene Expression
Nbeal1,Gene Expression
Cyp20a1,Gene Expression
Abi2,Gene Expression
Raph1,Gene Expression
Cd28,Gene Expression
Gm11579,Gene Expression
2310016D23Rik,Gene Expression
Ctla4,Gene Expression
Icos,Gene Expression
Gm28083,Gene Expression
Gm11587,Gene Expression
9530026F06Rik,Gene Expression
Gm11588,Gene Expression
Gm28449,Gene Expression
4930587A21Rik,Gene Expression
Pard3b,Gene Expression
Pard3bos1,Gene Expression
Pard3bos2,Gene Expression
Pard3bos3,Gene Expression
Gm29084,Gene Expression
Nrp2,Gene Expression
Gm29083,Gene Expression
Gm4208,Gene Expression
Ino80d,Gene Expression
Ino80dos,Gene Expression
Gm20342,Gene Expression
Ndufs1,Gene Expression
Eef1b2,Gene Expression
Gpr1,Gene Expression
Gm11608,Gene Expression
Zdbf2,Gene Expression
Adam23,Gene Expression
Gm39653,Gene Expression
Dytn,Gene Expression
Mdh1b,Gene Expression
Fastkd2,Gene Expression
4933402D24Rik,Gene Expression
Gm13749,Gene Expression
Klf7,Gene Expression
Gm26649,Gene Expression
Gm13748,Gene Expression
Gm28981,Gene Expression
Creb1,Gene Expression
Mettl21a,Gene Expression
Gm28982,Gene Expression
Gm29152,Gene Expression
Ccnyl1,Gene Expression
Fzd5,Gene Expression
Plekhm3,Gene Expression
Akr1cl,Gene Expression
Cryge,Gene Expression
Crygd,Gene Expression
Crygc,Gene Expression
Crygb,Gene Expression
Cryga,Gene Expression
Gm28845,Gene Expression
D630023F18Rik,Gene Expression
Idh1,Gene Expression
Pikfyve,Gene Expression
Pth2r,Gene Expression
Crygf,Gene Expression
Map2,Gene Expression
Gm10558,Gene Expression
Unc80,Gene Expression
Rpe,Gene Expression
Kansl1l,Gene Expression
Acadl,Gene Expression
Myl1,Gene Expression
Lancl1,Gene Expression
Cps1,Gene Expression
Gm15668,Gene Expression
Gm15669,Gene Expression
Gm15671,Gene Expression
Erbb4,Gene Expression
Gm28497,Gene Expression
Gm29113,Gene Expression
Gm29114,Gene Expression
Ikzf2,Gene Expression
Spag16,Gene Expression
Vwc2l,Gene Expression
Bard1,Gene Expression
Abca12,Gene Expression
Atic,Gene Expression
Fn1,Gene Expression
Apol7d,Gene Expression
Gm8883,Gene Expression
Gm28818,Gene Expression
4933417E11Rik,Gene Expression
4930556G22Rik,Gene Expression
Gm4319,Gene Expression
Mreg,Gene Expression
D230017M19Rik,Gene Expression
Pecr,Gene Expression
Tmem169,Gene Expression
Xrcc5,Gene Expression
March4,Gene Expression
Smarcal1,Gene Expression
Gm39662,Gene Expression
Ankar,Gene Expression
Rpl37a,Gene Expression
Igfbp2,Gene Expression
Igfbp5,Gene Expression
1700027A15Rik,Gene Expression
Tnp1,Gene Expression
Gm29185,Gene Expression
Pinc,Gene Expression
D530049I02Rik,Gene Expression
C530043A13Rik,Gene Expression
Gm29186,Gene Expression
6030407O03Rik,Gene Expression
Gm29183,Gene Expression
Tns1,Gene Expression
Rufy4,Gene Expression
Cxcr2,Gene Expression
Cxcr1,Gene Expression
Arpc2,Gene Expression
Gpbar1,Gene Expression
Aamp,Gene Expression
Gm28364,Gene Expression
Pnkd,Gene Expression
Tmbim1,Gene Expression
Catip,Gene Expression
Slc11a1,Gene Expression
Ctdsp1,Gene Expression
Vil1,Gene Expression
Usp37,Gene Expression
Cnot9,Gene Expression
Plcd4,Gene Expression
Zfp142,Gene Expression
Bcs1l,Gene Expression
Rnf25,Gene Expression
Stk36,Gene Expression
Ttll4,Gene Expression
Cyp27a1,Gene Expression
Prkag3,Gene Expression
Wnt6,Gene Expression
Gm29539,Gene Expression
Wnt10a,Gene Expression
Cdk5r2,Gene Expression
Fev,Gene Expression
Cryba2,Gene Expression
Cfap65,Gene Expression
Gm15841,Gene Expression
Ihh,Gene Expression
Nhej1,Gene Expression
Slc23a3,Gene Expression
Cnppd1,Gene Expression
Retreg2,Gene Expression
Zfand2b,Gene Expression
Abcb6,Gene Expression
Atg9a,Gene Expression
Ankzf1,Gene Expression
Glb1l,Gene Expression
Stk16,Gene Expression
Tuba4a,Gene Expression
A630095N17Rik,Gene Expression
Dnajb2,Gene Expression
Ptprn,Gene Expression
Gm28294,Gene Expression
Resp18,Gene Expression
Gm28902,Gene Expression
Dnpep,Gene Expression
Des,Gene Expression
Gm15179,Gene Expression
Speg,Gene Expression
Gm15178,Gene Expression
Gmppa,Gene Expression
Asic4,Gene Expression
Chpf,Gene Expression
Obsl1,Gene Expression
Tmem198,Gene Expression
Inha,Gene Expression
Stk11ip,Gene Expression
Slc4a3,Gene Expression
Gm29065,Gene Expression
Gm29069,Gene Expression
Gm17751,Gene Expression
Gm816,Gene Expression
Epha4,Gene Expression
Gm28386,Gene Expression
Gm28387,Gene Expression
Pax3,Gene Expression
Sgpp2,Gene Expression
Gm28410,Gene Expression
Farsb,Gene Expression
BC035947,Gene Expression
Mogat1,Gene Expression
5730419F03Rik,Gene Expression
Gm29611,Gene Expression
Acsl3,Gene Expression
Utp14b,Gene Expression
Gm29536,Gene Expression
Kcne4,Gene Expression
Gm29187,Gene Expression
Scg2,Gene Expression
Ap1s3,Gene Expression
Wdfy1,Gene Expression
Mrpl44,Gene Expression
Serpine2,Gene Expression
9830004L10Rik,Gene Expression
Fam124b,Gene Expression
2310015K22Rik,Gene Expression
Cul3,Gene Expression
Gm29125,Gene Expression
1700016L21Rik,Gene Expression
Gm45261,Gene Expression
Dock10,Gene Expression
Nyap2,Gene Expression
Irs1,Gene Expression
Gm9747,Gene Expression
Rhbdd1,Gene Expression
Gm28940,Gene Expression
Col4a4,Gene Expression
Col4a3,Gene Expression
Mff,Gene Expression
Tm4sf20,Gene Expression
Gm47791,Gene Expression
Gm28942,Gene Expression
Agfg1,Gene Expression
A030005L19Rik,Gene Expression
A030014E15Rik,Gene Expression
Gm6217,Gene Expression
A030003K21Rik,Gene Expression
Gm7544,Gene Expression
Gm47955,Gene Expression
Gm47959,Gene Expression
Slc19a3,Gene Expression
Krtap28-10,Gene Expression
Gm47969,Gene Expression
A030005K14Rik,Gene Expression
Krtap28-13,Gene Expression
Ccl20,Gene Expression
Daw1,Gene Expression
Sphkap,Gene Expression
4933436I20Rik,Gene Expression
Pid1,Gene Expression
Dner,Gene Expression
Trip12,Gene Expression
Fbxo36,Gene Expression
Slc16a14,Gene Expression
C130026I21Rik,Gene Expression
A530032D15Rik,Gene Expression
Gm10553,Gene Expression
A530040E14Rik,Gene Expression
Gm16028,Gene Expression
Gm16025,Gene Expression
Gm16092,Gene Expression
G530012D18Rik,Gene Expression
Sp110,Gene Expression
Gm16094,Gene Expression
Sp140,Gene Expression
Gm10552,Gene Expression
Gm17017,Gene Expression
Sp100,Gene Expression
A630001G21Rik,Gene Expression
9930111H07Rik,Gene Expression
Cab39,Gene Expression
Itm2c,Gene Expression
4933407L21Rik,Gene Expression
Gm28884,Gene Expression
Gpr55,Gene Expression
Gm28100,Gene Expression
Spata3,Gene Expression
2810459M11Rik,Gene Expression
Psmd1,Gene Expression
Htr2b,Gene Expression
Gm21972,Gene Expression
Armc9,Gene Expression
Gm16341,Gene Expression
B3gnt7,Gene Expression
Gm28626,Gene Expression
Ncl,Gene Expression
Nmur1,Gene Expression
Tex44,Gene Expression
Ptma,Gene Expression
Pde6d,Gene Expression
Cops7b,Gene Expression
Nppc,Gene Expression
Dis3l2,Gene Expression
Gm28375,Gene Expression
Gm29371,Gene Expression
Alppl2,Gene Expression
Alpi,Gene Expression
Akp3,Gene Expression
Gm29374,Gene Expression
Ecel1,Gene Expression
Prss56,Gene Expression
Chrnd,Gene Expression
Chrng,Gene Expression
Eif4e2,Gene Expression
Efhd1,Gene Expression
Efhd1os,Gene Expression
Gigyf2,Gene Expression
Kcnj13,Gene Expression
3110079O15Rik,Gene Expression
Ngef,Gene Expression
Neu2,Gene Expression
Inpp5d,Gene Expression
Atg16l1,Gene Expression
Sag,Gene Expression
Dgkd,Gene Expression
Gm19582,Gene Expression
Usp40,Gene Expression
Ugt1a10,Gene Expression
Ugt1a9,Gene Expression
Ugt1a8,Gene Expression
Ugt1a7c,Gene Expression
Ugt1a6b,Gene Expression
Ugt1a6a,Gene Expression
Ugt1a5,Gene Expression
Ugt1a2,Gene Expression
Dnajb3,Gene Expression
Ugt1a1,Gene Expression
Mroh2a,Gene Expression
Hjurp,Gene Expression
Trpm8,Gene Expression
4930453O03Rik,Gene Expression
Spp2,Gene Expression
Gm29538,Gene Expression
Gm28888,Gene Expression
Glrp1,Gene Expression
Gm19589,Gene Expression
Gm29336,Gene Expression
Arl4c,Gene Expression
Platr5,Gene Expression
Gm29337,Gene Expression
1700067G17Rik,Gene Expression
Sh3bp4,Gene Expression
Gm28342,Gene Expression
C030007H22Rik,Gene Expression
Agap1,Gene Expression
Gbx2,Gene Expression
Asb18,Gene Expression
Iqca,Gene Expression
4930434B07Rik,Gene Expression
Ackr3,Gene Expression
Gm28721,Gene Expression
Gm28723,Gene Expression
Gm28722,Gene Expression
Cops8,Gene Expression
Gm9991,Gene Expression
Col6a3,Gene Expression
Mlph,Gene Expression
Prlh,Gene Expression
Rab17,Gene Expression
Gm28199,Gene Expression
Lrrfip1,Gene Expression
Rbm44,Gene Expression
Ramp1,Gene Expression
Ube2f,Gene Expression
Gm26683,Gene Expression
Scly,Gene Expression
Gm17090,Gene Expression
Espnl,Gene Expression
Klhl30,Gene Expression
Erfe,Gene Expression
Ilkap,Gene Expression
1700020N18Rik,Gene Expression
Hes6,Gene Expression
Per2,Gene Expression
Gm28382,Gene Expression
Traf3ip1,Gene Expression
Asb1,Gene Expression
Gm28380,Gene Expression
Gm29100,Gene Expression
Twist2,Gene Expression
Hdac4,Gene Expression
Gm26720,Gene Expression
Gm29099,Gene Expression
Ndufa10,Gene Expression
Olfr1416,Gene Expression
Olfr1415,Gene Expression
Olfr1414,Gene Expression
Olfr1413,Gene Expression
1700054K02Rik,Gene Expression
Olfr1412,Gene Expression
Olfr1411,Gene Expression
Olfr1410,Gene Expression
Olfr12,Gene Expression
Cops9,Gene Expression
Otos,Gene Expression
Gm29483,Gene Expression
Gm29482,Gene Expression
Gm29481,Gene Expression
Gpc1,Gene Expression
Gm29480,Gene Expression
Ankmy1,Gene Expression
Dusp28,Gene Expression
5033417F24Rik,Gene Expression
Rnpepl1,Gene Expression
9430060I03Rik,Gene Expression
Capn10,Gene Expression
Gpr35,Gene Expression
Aqp12,Gene Expression
Kif1a,Gene Expression
Gm28086,Gene Expression
Agxt,Gene Expression
2310007B03Rik,Gene Expression
Crocc2,Gene Expression
Sned1,Gene Expression
Mterf4,Gene Expression
Gm28535,Gene Expression
Pask,Gene Expression
Ppp1r7,Gene Expression
Ano7,Gene Expression
Hdlbp,Gene Expression
Sept2,Gene Expression
Sept2-1,Gene Expression
Farp2,Gene Expression
Stk25,Gene Expression
Gm28536,Gene Expression
Bok,Gene Expression
Thap4,Gene Expression
Gm10550,Gene Expression
Atg4b,Gene Expression
Dtymk,Gene Expression
Ing5,Gene Expression
D2hgdh,Gene Expression
Gal3st2,Gene Expression
Gal3st2b,Gene Expression
Gal3st2c,Gene Expression
Neu4,Gene Expression
Pdcd1,Gene Expression
4930440C22Rik,Gene Expression
Fam174a,Gene Expression
St8sia4,Gene Expression
4930598F16Rik,Gene Expression
1700063A18Rik,Gene Expression
Gm29601,Gene Expression
4930533P14Rik,Gene Expression
Slco4c1,Gene Expression
Panct2,Gene Expression
Gm28901,Gene Expression
Slco6c1,Gene Expression
D1Ertd622e,Gene Expression
Ppip5k2,Gene Expression
Gin1,Gene Expression
Pam,Gene Expression
1810006J02Rik,Gene Expression
Gm29461,Gene Expression
Slco6d1,Gene Expression
Gm7967,Gene Expression
Cntnap5b,Gene Expression
Gm20268,Gene Expression
Gm28187,Gene Expression
Cdh20,Gene Expression
Gm15699,Gene Expression
Gm29012,Gene Expression
Rnf152,Gene Expression
Gm17634,Gene Expression
Pign,Gene Expression
2310035C23Rik,Gene Expression
Tnfrsf11a,Gene Expression
Gm7160,Gene Expression
Zcchc2,Gene Expression
Gm20753,Gene Expression
Phlpp1,Gene Expression
A530053M12Rik,Gene Expression
Bcl2,Gene Expression
D630008O14Rik,Gene Expression
Kdsr,Gene Expression
Vps4b,Gene Expression
Serpinb5,Gene Expression
Serpinb12,Gene Expression
Serpinb13,Gene Expression
Serpinb3a,Gene Expression
Serpinb3d,Gene Expression
Serpinb3b,Gene Expression
Serpinb3c,Gene Expression
Serpinb11,Gene Expression
Gm15391,Gene Expression
Serpinb7,Gene Expression
Serpinb2,Gene Expression
Serpinb8,Gene Expression
Gm15389,Gene Expression
D830032E09Rik,Gene Expression
Cdh7,Gene Expression
Cdh19,Gene Expression
Gm29088,Gene Expression
Dsel,Gene Expression
Gm28189,Gene Expression
9330185C12Rik,Gene Expression
Cntnap5a,Gene Expression
Gm19965,Gene Expression
Zfp813-ps,Gene Expression
Gm28363,Gene Expression
B020011L13Rik,Gene Expression
Gm28360,Gene Expression
Gm28168,Gene Expression
Gm7145,Gene Expression
Gm29106,Gene Expression
Tsn,Gene Expression
Nifk,Gene Expression
Gm28867,Gene Expression
Clasp1,Gene Expression
2900060B14Rik,Gene Expression
Tfcp2l1,Gene Expression
Gli2,Gene Expression
Gm26831,Gene Expression
Gm29456,Gene Expression
Gm29455,Gene Expression
Inhbb,Gene Expression
Ralb,Gene Expression
Gm27184,Gene Expression
Tmem185b,Gene Expression
3830432H09Rik,Gene Expression
Epb41l5,Gene Expression
Ptpn4,Gene Expression
Gm28209,Gene Expression
Tmem177,Gene Expression
Cfap221,Gene Expression
Sctr,Gene Expression
Tmem37,Gene Expression
Dbi,Gene Expression
3110009E18Rik,Gene Expression
Steap3,Gene Expression
C1ql2,Gene Expression
1700012E03Rik,Gene Expression
Marco,Gene Expression
En1,Gene Expression
2610027F03Rik,Gene Expression
Gm29346,Gene Expression
Gm29345,Gene Expression
Gm29348,Gene Expression
