gene,feature_type
Gm14104,Gene Expression
Crls1,Gene Expression
Lrrn4,Gene Expression
Fermt1,Gene Expression
Gm14102,Gene Expression
A430048G15Rik,Gene Expression
Gm14100,Gene Expression
Bmp2,Gene Expression
Hao1,Gene Expression
Tmx4,Gene Expression
Plcb1,Gene Expression
4930545L23Rik,Gene Expression
9630028H03Rik,Gene Expression
Platr3,Gene Expression
Plcb4,Gene Expression
Gm14211,Gene Expression
Gm14210,Gene Expression
Lamp5,Gene Expression
Pak7,Gene Expression
Gm14218,Gene Expression
Ankef1,Gene Expression
Snap25,Gene Expression
Mkks,Gene Expression
AL731706.1,Gene Expression
AL731706.2,Gene Expression
Slx4ip,Gene Expression
Jag1,Gene Expression
Gm28214,Gene Expression
Gm14055,Gene Expression
Gm14064,Gene Expression
Gm14062,Gene Expression
Btbd3,Gene Expression
Gm14061,Gene Expression
Sptlc3,Gene Expression
Ism1,Gene Expression
Tasp1,Gene Expression
Esf1,Gene Expression
Gm17374,Gene Expression
Ndufaf5,Gene Expression
Sel1l2,Gene Expression
Macrod2,Gene Expression
Flrt3,Gene Expression
Macrod2os2,Gene Expression
Macrod2os1,Gene Expression
Kif16b,Gene Expression
Kif16bos,Gene Expression
Snrpb2,Gene Expression
Otor,Gene Expression
Pcsk2os1,Gene Expression
Pcsk2,Gene Expression
Pcsk2os2,Gene Expression
Bfsp1,Gene Expression
Dstn,Gene Expression
Rrbp1,Gene Expression
Banf2,Gene Expression
Banf2os,Gene Expression
Gm5535,Gene Expression
4930444E06Rik,Gene Expression
Snx5,Gene Expression
Mgme1,Gene Expression
Ovol2,Gene Expression
1700108N11Rik,Gene Expression
Kat14,Gene Expression
Pet117,Gene Expression
Dzank1,Gene Expression
Polr3f,Gene Expression
Rbbp9,Gene Expression
Sec23b,Gene Expression
Smim26,Gene Expression
Dtd1,Gene Expression
Scp2d1,Gene Expression
Slc24a3,Gene Expression
Gm14092,Gene Expression
Rin2,Gene Expression
Naa20,Gene Expression
Crnkl1,Gene Expression
Cfap61,Gene Expression
Insm1,Gene Expression
Ralgapa2,Gene Expression
A930019D19Rik,Gene Expression
4933406D12Rik,Gene Expression
Gm14114,Gene Expression
Kiz,Gene Expression
Xrn2,Gene Expression
Nkx2-4,Gene Expression
Nkx2-2,Gene Expression
Nkx2-2os,Gene Expression
6430503K07Rik,Gene Expression
Gm14110,Gene Expression
AI646519,Gene Expression
Pax1,Gene Expression
A530006G24Rik,Gene Expression
9030622O22Rik,Gene Expression
Foxa2,Gene Expression
Sstr4,Gene Expression
Thbd,Gene Expression
Cd93,Gene Expression
Gm14120,Gene Expression
Nxt1,Gene Expression
Gzf1,Gene Expression
Napb,Gene Expression
Cstl1,Gene Expression
Cst11,Gene Expression
8030411F24Rik,Gene Expression
Cst12,Gene Expression
Cst8,Gene Expression
Cst13,Gene Expression
Cst9,Gene Expression
9230104L09Rik,Gene Expression
Cst3,Gene Expression
Gm1330,Gene Expression
Gm10750,Gene Expression
Gm14135,Gene Expression
Cst10,Gene Expression
Gm14133,Gene Expression
Syndig1,Gene Expression
C530025M09Rik,Gene Expression
Zfp120,Gene Expression
Gm10770,Gene Expression
Gm14139,Gene Expression
Zfp937,Gene Expression
Gm21994,Gene Expression
Gm14124,Gene Expression
3300002I08Rik,Gene Expression
Gm10130,Gene Expression
Zfp442,Gene Expression
Zfp345,Gene Expression
Cst7,Gene Expression
Apmap,Gene Expression
Acss1,Gene Expression
Vsx1,Gene Expression
Platr15,Gene Expression
Gm28450,Gene Expression
Gm26681,Gene Expression
Entpd6,Gene Expression
Pygb,Gene Expression
Abhd12,Gene Expression
Gins1,Gene Expression
Ninl,Gene Expression
Nanp,Gene Expression
Gm14151,Gene Expression
Gm14147,Gene Expression
Gm14145,Gene Expression
Gm14149,Gene Expression
Gm14144,Gene Expression
4930442J19Rik,Gene Expression
Gm14152,Gene Expression
Gm14146,Gene Expression
4921509C19Rik,Gene Expression
Nsfl1c,Gene Expression
Gm14167,Gene Expression
Fkbp1a,Gene Expression
Sdcbp2,Gene Expression
Snph,Gene Expression
Rad21l,Gene Expression
Tmem74bos,Gene Expression
Tmem74b,Gene Expression
Psmf1,Gene Expression
4930556L07Rik,Gene Expression
Gm14155,Gene Expression
Rspo4,Gene Expression
Rspo4os,Gene Expression
Angpt4,Gene Expression
Gm14154,Gene Expression
Fam110a,Gene Expression
Slc52a3,Gene Expression
AA387200,Gene Expression
Scrt2,Gene Expression
Srxn1,Gene Expression
Tcf15,Gene Expression
Csnk2a1,Gene Expression
Tbc1d20,Gene Expression
Rbck1,Gene Expression
Trib3,Gene Expression
Nrsn2,Gene Expression
Sox12,Gene Expression
Zcchc3,Gene Expression
6820408C15Rik,Gene Expression
Defb23,Gene Expression
Defb20,Gene Expression
Defb22,Gene Expression
Defb26,Gene Expression
Defb28,Gene Expression
Defb29,Gene Expression
Gm14161,Gene Expression
Gm17416,Gene Expression
Defb21,Gene Expression
Defb19,Gene Expression
Defb45,Gene Expression
Defb36,Gene Expression
Defb25,Gene Expression
Rem1,Gene Expression
1700030C14Rik,Gene Expression
H13,Gene Expression
Mcts2,Gene Expression
Gm26841,Gene Expression
Id1,Gene Expression
Cox4i2,Gene Expression
Bcl2l1,Gene Expression
Tpx2,Gene Expression
Mylk2,Gene Expression
Foxs1,Gene Expression
Dusp15,Gene Expression
Ttll9,Gene Expression
Gm14199,Gene Expression
Pdrg1,Gene Expression
Xkr7,Gene Expression
Ccm2l,Gene Expression
Hck,Gene Expression
Tm9sf4,Gene Expression
Tspyl3,Gene Expression
Plagl2,Gene Expression
Pofut1,Gene Expression
Kif3b,Gene Expression
Asxl1,Gene Expression
Nol4l,Gene Expression
4930404H24Rik,Gene Expression
Commd7,Gene Expression
Dnmt3bos,Gene Expression
Dnmt3b,Gene Expression
Dnmt3c,Gene Expression
Mapre1,Gene Expression
Efcab8,Gene Expression
Sun5,Gene Expression
Bpifb2,Gene Expression
Bpifb6,Gene Expression
Bpifb3,Gene Expression
Bpifb4,Gene Expression
Bpifa6,Gene Expression
Bpifa2,Gene Expression
Bpifa3,Gene Expression
Bpifa1,Gene Expression
Bpifa5,Gene Expression
Bpifb1,Gene Expression
Bpifb5,Gene Expression
Bpifb9a,Gene Expression
Bpifb9b,Gene Expression
Cdk5rap1,Gene Expression
Snta1,Gene Expression
Cbfa2t2,Gene Expression
Necab3,Gene Expression
1700003F12Rik,Gene Expression
Actl10,Gene Expression
E2f1,Gene Expression
Pxmp4,Gene Expression
4930519P11Rik,Gene Expression
Zfp341,Gene Expression
Gm14198,Gene Expression
Chmp4b,Gene Expression
Gm14216,Gene Expression
Gm14214,Gene Expression
Raly,Gene Expression
a,Gene Expression
Eif2s2,Gene Expression
Gm14226,Gene Expression
Ahcy,Gene Expression
Gm45609,Gene Expression
2310005A03Rik,Gene Expression
Itch,Gene Expression
Dynlrb1,Gene Expression
Map1lc3a,Gene Expression
Pigu,Gene Expression
Trp53inp2,Gene Expression
Ncoa6,Gene Expression
Ggt7,Gene Expression
Acss2,Gene Expression
Acss2os,Gene Expression
Gss,Gene Expression
Gssos2,Gene Expression
Gssos1,Gene Expression
Gm14257,Gene Expression
Myh7b,Gene Expression
Trpc4ap,Gene Expression
Edem2,Gene Expression
Gm17581,Gene Expression
Procr,Gene Expression
Mmp24,Gene Expression
BC029722,Gene Expression
Eif6,Gene Expression
Gm16098,Gene Expression
Fam83c,Gene Expression
Uqcc1,Gene Expression
Gm15557,Gene Expression
Gdf5,Gene Expression
Cep250,Gene Expression
6430550D23Rik,Gene Expression
Ergic3,Gene Expression
Fer1l4,Gene Expression
Spag4,Gene Expression
Cpne1,Gene Expression
Gm28036,Gene Expression
Rbm12,Gene Expression
Nfs1,Gene Expression
Romo1,Gene Expression
Rbm39,Gene Expression
Phf20,Gene Expression
Scand1,Gene Expression
Cnbd2,Gene Expression
Gm14252,Gene Expression
Gm14170,Gene Expression
2900097C17Rik,Gene Expression
Epb41l1,Gene Expression
Gm14225,Gene Expression
Gm14224,Gene Expression
Aar2,Gene Expression
Gm14168,Gene Expression
Dlgap4,Gene Expression
Gm14174,Gene Expression
Myl9,Gene Expression
Gm14230,Gene Expression
Tgif2,Gene Expression
4930518I15Rik,Gene Expression
1110008F13Rik,Gene Expression
Sla2,Gene Expression
Ndrg3,Gene Expression
Dsn1,Gene Expression
Soga1,Gene Expression
Tldc2,Gene Expression
Samhd1,Gene Expression
Rbl1,Gene Expression
Mroh8,Gene Expression
Rpn2,Gene Expression
Ghrh,Gene Expression
Manbal,Gene Expression
Src,Gene Expression
Gm14286,Gene Expression
Blcap,Gene Expression
Nnat,Gene Expression
Platr27,Gene Expression
Ctnnbl1,Gene Expression
Vstm2l,Gene Expression
Tti1,Gene Expression
Rprd1b,Gene Expression
2010009K17Rik,Gene Expression
Tgm2,Gene Expression
D630003M21Rik,Gene Expression
1700060C20Rik,Gene Expression
Bpi,Gene Expression
Lbp,Gene Expression
Gm23925,Gene Expression
Snhg11,Gene Expression
Ralgapb,Gene Expression
Adig,Gene Expression
Arhgap40,Gene Expression
Slc32a1,Gene Expression
Gm14205,Gene Expression
Actr5,Gene Expression
Ppp1r16b,Gene Expression
Fam83d,Gene Expression
Dhx35,Gene Expression
Gm14223,Gene Expression
9130015L21Rik,Gene Expression
Gm826,Gene Expression
Mafb,Gene Expression
Gm14221,Gene Expression
Top1,Gene Expression
Plcg1,Gene Expression
Gm27206,Gene Expression
Zhx3,Gene Expression
Gm16751,Gene Expression
Lpin3,Gene Expression
Emilin3,Gene Expression
Gm14228,Gene Expression
Chd6,Gene Expression
Gm45447,Gene Expression
Gm14243,Gene Expression
Gm14242,Gene Expression
Gm14241,Gene Expression
Ptprt,Gene Expression
Ptprtos,Gene Expression
Gm14246,Gene Expression
Gm14255,Gene Expression
Srsf6,Gene Expression
L3mbtl1,Gene Expression
Sgk2,Gene Expression
Ift52,Gene Expression
Mybl2,Gene Expression
Gtsf1l,Gene Expression
Gm11454,Gene Expression
Gm14254,Gene Expression
Tox2,Gene Expression
Jph2,Gene Expression
Oser1,Gene Expression
2900093K20Rik,Gene Expression
Gdap1l1,Gene Expression
Fitm2,Gene Expression
2310001K24Rik,Gene Expression
R3hdml,Gene Expression
Hnf4aos,Gene Expression
Hnf4a,Gene Expression
Ttpal,Gene Expression
Serinc3,Gene Expression
0610039K10Rik,Gene Expression
Pkig,Gene Expression
Gm16316,Gene Expression
Ada,Gene Expression
Wisp2,Gene Expression
Kcnk15,Gene Expression
Rims4,Gene Expression
Ywhab,Gene Expression
Pabpc1l,Gene Expression
Tomm34,Gene Expression
Stk4,Gene Expression
Gm11455,Gene Expression
Kcns1,Gene Expression
Wfdc5,Gene Expression
A730032A03Rik,Gene Expression
Wfdc12,Gene Expression
Wfdc15a,Gene Expression
Wfdc15b,Gene Expression
Svs2,Gene Expression
Svs3b,Gene Expression
Svs4,Gene Expression
Svs3a,Gene Expression
Svs6,Gene Expression
Svs5,Gene Expression
Slpi,Gene Expression
Matn4,Gene Expression
Rbpjl,Gene Expression
Sdc4,Gene Expression
Sys1,Gene Expression
Gm14302,Gene Expression
Gm20458,Gene Expression
Trp53tg5,Gene Expression
Dbndd2,Gene Expression
Pigt,Gene Expression
Gm14317,Gene Expression
Wfdc2,Gene Expression
Spint3,Gene Expression
Wfdc6a,Gene Expression
Eppin,Gene Expression
Wfdc8,Gene Expression
Wfdc6b,Gene Expression
Wfdc16,Gene Expression
Wfdc9,Gene Expression
Wfdc10,Gene Expression
Wfdc11,Gene Expression
Wfdc13,Gene Expression
Spint4,Gene Expression
Spint5,Gene Expression
Wfdc3,Gene Expression
Dnttip1,Gene Expression
Gm11457,Gene Expression
Ube2c,Gene Expression
Tnnc2,Gene Expression
Snx21,Gene Expression
Acot8,Gene Expression
Zswim3,Gene Expression
Zswim1,Gene Expression
Spata25,Gene Expression
Neurl2,Gene Expression
Ctsa,Gene Expression
Pltp,Gene Expression
Pcif1,Gene Expression
Zfp335,Gene Expression
Zfp335os,Gene Expression
Mmp9,Gene Expression
Slc12a5,Gene Expression
Ncoa5,Gene Expression
Cd40,Gene Expression
1700025C18Rik,Gene Expression
Cdh22,Gene Expression
Gm14397,Gene Expression
Slc35c2,Gene Expression
Elmo2,Gene Expression
Zfp663,Gene Expression
Zfp334,Gene Expression
Ocstamp,Gene Expression
Slc13a3,Gene Expression
Gm14437,Gene Expression
Trp53rka,Gene Expression
Slc2a10,Gene Expression
Eya2,Gene Expression
Gm28163,Gene Expression
Zmynd8,Gene Expression
Gm11465,Gene Expression
Platr29,Gene Expression
Gm11464,Gene Expression
Ncoa3,Gene Expression
Sulf2,Gene Expression
Gm11466,Gene Expression
Gm11467,Gene Expression
Gm11468,Gene Expression
Gm14268,Gene Expression
5031425F14Rik,Gene Expression
Prex1,Gene Expression
Trp53rkb,Gene Expression
Arfgef2,Gene Expression
Cse1l,Gene Expression
Gm17096,Gene Expression
Stau1,Gene Expression
Ddx27,Gene Expression
Znfx1,Gene Expression
Kcnb1,Gene Expression
Ptgis,Gene Expression
Gm14291,Gene Expression
B4galt5,Gene Expression
Slc9a8,Gene Expression
Spata2,Gene Expression
Rnf114,Gene Expression
Snai1,Gene Expression
Ube2v1,Gene Expression
Gm20431,Gene Expression
Tmem189,Gene Expression
Gm14320,Gene Expression
Cebpb,Gene Expression
A530013C23Rik,Gene Expression
Gm14321,Gene Expression
9230111E07Rik,Gene Expression
1200007C13Rik,Gene Expression
Gm14319,Gene Expression
Ptpn1,Gene Expression
Ripor3,Gene Expression
Gm14236,Gene Expression
Pard6b,Gene Expression
Gm14235,Gene Expression
E130018N17Rik,Gene Expression
Gm20716,Gene Expression
Adnp,Gene Expression
Dpm1,Gene Expression
Mocs3,Gene Expression
Kcng1,Gene Expression
Gm14262,Gene Expression
Nfatc2,Gene Expression
Atp9a,Gene Expression
Sall4,Gene Expression
Zfp64,Gene Expression
1700017J07Rik,Gene Expression
Gm14260,Gene Expression
Gm9873,Gene Expression
Gm14258,Gene Expression
9430093N23Rik,Gene Expression
Gm14250,Gene Expression
4930529I22Rik,Gene Expression
Gm14249,Gene Expression
Gm11011,Gene Expression
Tshz2,Gene Expression
Gm26883,Gene Expression
A630075F10Rik,Gene Expression
Zfp217,Gene Expression
Gm17619,Gene Expression
Bcas1,Gene Expression
Bcas1os2,Gene Expression
Bcas1os1,Gene Expression
Cyp24a1,Gene Expression
Pfdn4,Gene Expression
Gm16796,Gene Expression
Gm14637,Gene Expression
4930470P17Rik,Gene Expression
Gm14264,Gene Expression
Dok5,Gene Expression
Gm14266,Gene Expression
Gm14640,Gene Expression
1700007M16Rik,Gene Expression
Gm14272,Gene Expression
Gm14641,Gene Expression
Cbln4,Gene Expression
Gm14271,Gene Expression
Mc3r,Gene Expression
Gm14275,Gene Expression
Gm14273,Gene Expression
Fam210b,Gene Expression
Aurka,Gene Expression
Cstf1,Gene Expression
Cass4,Gene Expression
Gm14455,Gene Expression
Rtf2,Gene Expression
Gcnt7,Gene Expression
Fam209,Gene Expression
Tfap2c,Gene Expression
Bmp7,Gene Expression
Spo11,Gene Expression
Rae1,Gene Expression
Rbm38,Gene Expression
Gm14453,Gene Expression
Ctcfl,Gene Expression
Ctcflos,Gene Expression
Pck1,Gene Expression
Zbp1,Gene Expression
Pmepa1,Gene Expression
Pmepa1os,Gene Expression
Gm14642,Gene Expression
1700021F07Rik,Gene Expression
Ankrd60,Gene Expression
Rab22a,Gene Expression
1700010B08Rik,Gene Expression
Vapb,Gene Expression
Stx16,Gene Expression
Npepl1,Gene Expression
Gm10714,Gene Expression
Nespas,Gene Expression
Gnas,Gene Expression
Gm20721,Gene Expression
Nelfcd,Gene Expression
Ctsz,Gene Expression
Tubb1,Gene Expression
Atp5e,Gene Expression
Prelid3b,Gene Expression
Zfp831,Gene Expression
Edn3,Gene Expression
Gm14618,Gene Expression
Gm14616,Gene Expression
Gm14444,Gene Expression
Gm14393,Gene Expression
Gm14399,Gene Expression
Gm14443,Gene Expression
Gm14391,Gene Expression
Gm14440,Gene Expression
Gm4631,Gene Expression
Zfp968,Gene Expression
Gm4724,Gene Expression
Zfp965,Gene Expression
Gm11007,Gene Expression
Zfp969,Gene Expression
Gm2007,Gene Expression
Gm14288,Gene Expression
Gm6710,Gene Expression
Zfp966,Gene Expression
Gm2026,Gene Expression
Gm11008,Gene Expression
Gm2004,Gene Expression
2210418O10Rik,Gene Expression
Gm11009,Gene Expression
Gm14435,Gene Expression
Gm14434,Gene Expression
Zfp967,Gene Expression
Gm14308,Gene Expression
Zfp973,Gene Expression
Gm14305,Gene Expression
Gm14295,Gene Expression
Gm14408,Gene Expression
Gm14296,Gene Expression
Gm14419,Gene Expression
Gm14401,Gene Expression
Gm14410,Gene Expression
Gm14409,Gene Expression
Gm14412,Gene Expression
Gm14418,Gene Expression
Zfp970,Gene Expression
Gm14403,Gene Expression
Gm14406,Gene Expression
Gm14322,Gene Expression
Gm14325,Gene Expression
Gm14327,Gene Expression
Zfp972,Gene Expression
Gm14326,Gene Expression
Zfp971,Gene Expression
Gm26869,Gene Expression
Zfp931,Gene Expression
Phactr3,Gene Expression
Sycp2,Gene Expression
Ppp1r3d,Gene Expression
Fam217b,Gene Expression
Cdh26,Gene Expression
4930591A17Rik,Gene Expression
Cdh4,Gene Expression
Taf4,Gene Expression
Lsm14b,Gene Expression
Psma7,Gene Expression
Ss18l1,Gene Expression
Mtg2,Gene Expression
Hrh3,Gene Expression
Gm17180,Gene Expression
Osbpl2,Gene Expression
Adrm1,Gene Expression
Lama5,Gene Expression
Rps21,Gene Expression
Cables2,Gene Expression
Rbbp8nl,Gene Expression
Gata5,Gene Expression
Gata5os,Gene Expression
B230312C02Rik,Gene Expression
Slco4a1,Gene Expression
Ntsr1,Gene Expression
Mrgbp,Gene Expression
Ogfr,Gene Expression
Col9a3,Gene Expression
Tcfl5,Gene Expression
Dido1,Gene Expression
Gid8,Gene Expression
Slc17a9,Gene Expression
Bhlhe23,Gene Expression
Gm14340,Gene Expression
Gm14342,Gene Expression
Gm14344,Gene Expression
Gm14339,Gene Expression
Gm27032,Gene Expression
Ythdf1,Gene Expression
Birc7,Gene Expression
Nkain4,Gene Expression
Gm14341,Gene Expression
Arfgap1,Gene Expression
Col20a1,Gene Expression
Chrna4,Gene Expression
Kcnq2,Gene Expression
Eef1a2,Gene Expression
Ppdpf,Gene Expression
Ptk6,Gene Expression
Srms,Gene Expression
Fndc11,Gene Expression
Helz2,Gene Expression
Gmeb2,Gene Expression
Stmn3,Gene Expression
Rtel1,Gene Expression
Arfrp1,Gene Expression
Zgpat,Gene Expression
Lime1,Gene Expression
Zbtb46,Gene Expression
Abhd16b,Gene Expression
Tpd52l2,Gene Expression
Dnajc5,Gene Expression
Uckl1,Gene Expression
Uckl1os,Gene Expression
Zfp512b,Gene Expression
Prpf6,Gene Expression
Samd10,Gene Expression
Gm29797,Gene Expression
Sox18,Gene Expression
Tcea2,Gene Expression
Rgs19,Gene Expression
Lkaaear1,Gene Expression
Oprl1,Gene Expression
Myt1,Gene Expression
Pcmtd2,Gene Expression
Polr3k,Gene Expression
Gm14496,Gene Expression
Btbd35f23,Gene Expression
Btbd35f24,Gene Expression
Btbd35f11,Gene Expression
Btbd35f18,Gene Expression
Btbd35f10,Gene Expression
Btbd35f16,Gene Expression
Btbd35f3,Gene Expression
Btbd35f28,Gene Expression
Btbd35f20,Gene Expression
Btbd35f17,Gene Expression
Btbd35f4,Gene Expression
Btbd35f27,Gene Expression
Mycs,Gene Expression
Btbd35f7,Gene Expression
Nudt11,Gene Expression
AU022751,Gene Expression
Nudt10,Gene Expression
Bmp15,Gene Expression
Shroom4,Gene Expression
Dgkk,Gene Expression
Ccnb3,Gene Expression
Akap4,Gene Expression
Clcn5,Gene Expression
Usp27x,Gene Expression
Ppp1r3f,Gene Expression
Flicr,Gene Expression
Foxp3,Gene Expression
Ccdc22,Gene Expression
Cacna1f,Gene Expression
Syp,Gene Expression
Gm14703,Gene Expression
Prickle3,Gene Expression
Plp2,Gene Expression
Magix,Gene Expression
Gpkow,Gene Expression
Wdr45,Gene Expression
Gm45208,Gene Expression
Praf2,Gene Expression
Ccdc120,Gene Expression
Tfe3,Gene Expression
Gripap1,Gene Expression
Kcnd1,Gene Expression
Otud5,Gene Expression
Pim2,Gene Expression
Slc35a2,Gene Expression
Pqbp1,Gene Expression
Timm17b,Gene Expression
Gm10491,Gene Expression
Gm10490,Gene Expression
Pcsk1n,Gene Expression
Eras,Gene Expression
Hdac6,Gene Expression
Gata1,Gene Expression
Glod5,Gene Expression
Gm14820,Gene Expression
Suv39h1,Gene Expression
Was,Gene Expression
Wdr13,Gene Expression
Rbm3,Gene Expression
Rbm3os,Gene Expression
Tbc1d25,Gene Expression
Ebp,Gene Expression
Porcn,Gene Expression
Ftsj1,Gene Expression
Slc38a5,Gene Expression
Ssxb10,Gene Expression
Ssxb9,Gene Expression
Ssxb1,Gene Expression
Ssxb2,Gene Expression
Gm14459,Gene Expression
Ssxb6,Gene Expression
Ssxb3,Gene Expression
Ssxb8,Gene Expression
Ssx9,Gene Expression
Ssxb5,Gene Expression
Gm6592,Gene Expression
Gm5751,Gene Expression
B630019K06Rik,Gene Expression
Fthl17b,Gene Expression
Fthl17c,Gene Expression
Fthl17d,Gene Expression
Fthl17e,Gene Expression
Fthl17f,Gene Expression
4930402K13Rik,Gene Expression
Lancl3,Gene Expression
Gm14862,Gene Expression
Xk,Gene Expression
H2al1m,Gene Expression
H2al1k,Gene Expression
Cybb,Gene Expression
H2al1o,Gene Expression
Dynlt3,Gene Expression
Hypm,Gene Expression
H2al3,Gene Expression
Sytl5,Gene Expression
Srpx,Gene Expression
Rpgr,Gene Expression
Otc,Gene Expression
Tspan7,Gene Expression
Gm10489,Gene Expression
Mid1ip1,Gene Expression
Gm14493,Gene Expression
H2al1a,Gene Expression
H2al1b,Gene Expression
H2al1c,Gene Expression
H2al1d,Gene Expression
H2al1e,Gene Expression
H2al1f,Gene Expression
H2al1g,Gene Expression
H2al1h,Gene Expression
H2al1i,Gene Expression
H2al1j,Gene Expression
Bcor,Gene Expression
Gm14635,Gene Expression
Atp6ap2,Gene Expression
1810030O07Rik,Gene Expression
Med14,Gene Expression
Usp9x,Gene Expression
2010308F09Rik,Gene Expression
Ddx3x,Gene Expression
Nyx,Gene Expression
Cask,Gene Expression
Gpr34,Gene Expression
Gpr82,Gene Expression
H2al1n,Gene Expression
Gm14505,Gene Expression
Drr1,Gene Expression
Cypt1,Gene Expression
Maoa,Gene Expression
Maob,Gene Expression
Ndp,Gene Expression
Efhc2,Gene Expression
Fundc1,Gene Expression
Dusp21,Gene Expression
Kdm6a,Gene Expression
4930578C19Rik,Gene Expression
Gm26652,Gene Expression
Tex13c3,Gene Expression
Chst7,Gene Expression
Slc9a7,Gene Expression
Rp2,Gene Expression
Jade3,Gene Expression
Rgn,Gene Expression
Ndufb11,Gene Expression
Rbm10,Gene Expression
Uba1,Gene Expression
Cdk16,Gene Expression
Usp11,Gene Expression
Araf,Gene Expression
Syn1,Gene Expression
Timp1,Gene Expression
Cfp,Gene Expression
Elk1,Gene Expression
Uxt,Gene Expression
Zfp182,Gene Expression
Spaca5,Gene Expression
Zfp300,Gene Expression
Ssxa1,Gene Expression
Gm21876,Gene Expression
4930453H23Rik,Gene Expression
Gm6938,Gene Expression
Gm26593,Gene Expression
Agtr2,Gene Expression
Slc6a14,Gene Expression
Gm28269,Gene Expression
Gm28268,Gene Expression
Klhl13,Gene Expression
Wdr44,Gene Expression
Gm4907,Gene Expression
Gm4985,Gene Expression
Gm27192,Gene Expression
Gm5934,Gene Expression
Gm4297,Gene Expression
Gm5935,Gene Expression
Gm5169,Gene Expression
Gm1993,Gene Expression
E330010L02Rik,Gene Expression
Gm5168,Gene Expression
Gm2012,Gene Expression
Gm2030,Gene Expression
Slx,Gene Expression
Gm14525,Gene Expression
Gm6121,Gene Expression
Gm10230,Gene Expression
Gm2101,Gene Expression
Gm10058,Gene Expression
Gm2117,Gene Expression
Gm4836,Gene Expression
Gm10147,Gene Expression
Gm2165,Gene Expression
Gm10096,Gene Expression
Gm2200,Gene Expression
Gm26818,Gene Expression
Gm3669,Gene Expression
Gm10488,Gene Expression
E330016L19Rik,Gene Expression
Gm14632,Gene Expression
Gm7437,Gene Expression
Gm14974,Gene Expression
Gm10487,Gene Expression
Btbd35f29,Gene Expression
Spin2f,Gene Expression
Btbd35f26,Gene Expression
Btbd35f19,Gene Expression
Gm21883,Gene Expression
Spin2e,Gene Expression
Btbd35f25,Gene Expression
Gm21637,Gene Expression
Btbd35f22,Gene Expression
Btbd35f2,Gene Expression
Btbd35f1,Gene Expression
Gm5926,Gene Expression
Btbd35f21,Gene Expression
Btbd35f30,Gene Expression
Gm21789,Gene Expression
Btbd35f5,Gene Expression
Spin2-ps6,Gene Expression
Btbd35f12,Gene Expression
Btbd35f15,Gene Expression
Btbd35f13,Gene Expression
Btbd35f14,Gene Expression
Btbd35f6,Gene Expression
Gm21870,Gene Expression
Btbd35f9,Gene Expression
Spin2g,Gene Expression
Btbd35f8,Gene Expression
Gm14552,Gene Expression
Gm10486,Gene Expression
Gm2309,Gene Expression
Gm14553,Gene Expression
Gm14819,Gene Expression
Dock11,Gene Expression
Il13ra1,Gene Expression
Zcchc12,Gene Expression
Lonrf3,Gene Expression
Gm6268,Gene Expression
Gm14569,Gene Expression
Pgrmc1,Gene Expression
Akap17b,Gene Expression
Slc25a43,Gene Expression
Slc25a5,Gene Expression
Mdrl,Gene Expression
Gm14549,Gene Expression
C330007P06Rik,Gene Expression
Ube2a,Gene Expression
Nkrf,Gene Expression
Gm15008,Gene Expression
Sept6,Gene Expression
Sowahd,Gene Expression
Rpl39,Gene Expression
Upf3b,Gene Expression
Nkap,Gene Expression
Akap14,Gene Expression
Ndufa1,Gene Expression
Rnf113a1,Gene Expression
Gm9,Gene Expression
Rhox1,Gene Expression
Rhox2a,Gene Expression
Rhox3a,Gene Expression
Rhox4a,Gene Expression
Rhox3a2,Gene Expression
Rhox4a2,Gene Expression
Rhox2b,Gene Expression
Rhox4b,Gene Expression
Rhox2c,Gene Expression
Rhox3c,Gene Expression
Rhox4c,Gene Expression
Rhox2d,Gene Expression
Rhox4d,Gene Expression
Rhox2e,Gene Expression
Rhox3e,Gene Expression
Rhox4e,Gene Expression
Rhox2f,Gene Expression
Rhox3f,Gene Expression
Rhox4f,Gene Expression
Rhox3g,Gene Expression
Rhox2g,Gene Expression
Rhox4g,Gene Expression
Rhox3h,Gene Expression
Rhox2h,Gene Expression
Rhox5,Gene Expression
Rhox6,Gene Expression
Rhox7a,Gene Expression
Rhox8,Gene Expression
Rhox7b,Gene Expression
Rhox9,Gene Expression
Btg1-ps1,Gene Expression
Btg1-ps2,Gene Expression
Rhox10,Gene Expression
Rhox11,Gene Expression
Rhox12,Gene Expression
Rhox13,Gene Expression
Zbtb33,Gene Expression
Tmem255a,Gene Expression
Atp1b4,Gene Expression
Lamp2,Gene Expression
Gm7598,Gene Expression
Cul4b,Gene Expression
Mcts1,Gene Expression
C1galt1c1,Gene Expression
Gm14565,Gene Expression
6030498E09Rik,Gene Expression
Cypt15,Gene Expression
Cypt14,Gene Expression
Gria3,Gene Expression
Thoc2,Gene Expression
Xiap,Gene Expression
Stag2,Gene Expression
Tex13c2,Gene Expression
Sh2d1a,Gene Expression
Tenm1,Gene Expression
Tex13c1,Gene Expression
Dcaf12l2,Gene Expression
Dcaf12l1,Gene Expression
Prr32,Gene Expression
4930515L19Rik,Gene Expression
Actrt1,Gene Expression
Gm29242,Gene Expression
Smarca1,Gene Expression
Ocrl,Gene Expression
Apln,Gene Expression
Xpnpep2,Gene Expression
Sash3,Gene Expression
Zdhhc9,Gene Expression
